"Tool","Description","Category","Type","Published","","","","","","","","","","","","","","","","","","","","",""
"list_shared_assets","List reusable content blocks (HTML, rich text, subject lines, visual editor blocks) with filtering by type, name, tags, and usage counts.","Shared assets","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_shared_asset","Retrieve detailed information about a specific shared asset including content, dependencies, and usage.","Shared assets","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_shared_asset_templates","Get all email templates that reference a specific shared asset.","Shared assets","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"search_customer","Search for customers by common identifiers — email, customer ID, phone, UUID, device ID, or cookie.","Customer profiles & data","Read","No","","","","","","","","","","","","","","","","","","","","",""
"condensed_profile","Retrieve an AI-optimized user profile with behavioral analytics, engagement patterns, and summary insights.","Customer profiles & data","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_user_events","List all events and interactions for a specific customer with pagination support.","Customer profiles & data","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_user_transactions","List all purchase transactions for a specific customer.","Customer profiles & data","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_campaign_activity","List all campaign interactions and messaging activity for a specific customer.","Customer profiles & data","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_user_campaign_activity","Retrieve comprehensive campaign activity history for a user within a date range.","Customer profiles & data","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_schema","Return the full segmentation schema including events, user attributes, transactions, operators, and timeline helpers. Supports output masking for large payloads (50K+ tokens).","Schema & data discovery","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_customer_attribute_schema_v2","Retrieve user attribute schema for building valid group by choices in audience insights and segmentation. Includes AI-powered smart filtering.","Schema & data discovery","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_data_studio_schema","Get the data structure and available attributes/fields for customer records.","Schema & data discovery","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_events_schema","Get detailed schema for specific event types including available properties and data types.","Schema & data discovery","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_products_schema","Get the data structure and available fields for product catalog records.","Schema & data discovery","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_user_schema","Get the data structure and available fields for customer profiles.","Schema & data discovery","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_studio_schema","Get a UI friendly schema with filter operators, event categories, and simplified score lists for recommendation authoring.","Schema & data discovery","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_recommendation_authoring_schema","Retrieve the recommendation authoring schema with available filters, events, and data stores for building catalog item blocks.","Schema & data discovery","Read","No","","","","","","","","","","","","","","","","","","","","",""
"attribute_usage_statistics","Get usage statistics for all attributes across users, events, products, or user base — including campaign, segment, and template usage counts.","Attributes & usage analytics","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"attribute_usages","Check specific attributes (up to 40) for usage across campaigns, segments, templates, or count of users where the attribute is set.","Attributes & usage analytics","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_user_insight_attributes","Return active predictive scores, predictive affinities, computed attributes, and RFM definitions available for the account.","Attributes & usage analytics","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"list_catalogs","List all product catalogs with metadata to identify which catalog to search.","Product catalog","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"search_products","Search and filter catalog products by attributes like SKU, title, brand, category, price, and availability. Supports AND/OR/NOT conditions and pagination.","Product catalog","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_product_by_sku","Get product details by SKU or product ID.","Product catalog","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_product_by_uuid","Get product details by internal UUID.","Product catalog","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_product_attribute_stats","Get distribution statistics for product attribute values (e.g., category breakdown for purchase events).","Product catalog","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_recommendation_schemes_v1","List all recommendation schemes with names and configurations.","Recommendations","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_enriched_recommendation_schemes","List recommendation schemes with enriched AI-generated descriptions and metadata.","Recommendations","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_recommendation_scheme","Retrieve detailed configuration for a specific recommendation scheme including blocks and settings.","Recommendations","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_recommendation_block_themes","List recommendation block themes (recipes) with configurations and use cases. Supports smart filtering.","Recommendations","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_recommendation_block_theme","Get detailed configuration of a specific recommendation block theme.","Recommendations","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_recommendations","Test and validate recommendation algorithms with real user data.","Recommendations","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_recommended_products","Retrieve personalized product recommendations for a specific customer.","Recommendations","Read","No","","","","","","","","","","","","","","","","","","","","",""
"create_account_algorithm","Create a new recommendation algorithm using draft resource pointers or inline code.","Recommendations","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_account_algorithm","Update an existing recommendation algorithm.","Recommendations","Write","No","","","","","","","","","","","","","","","","","","","","",""
"compile_plasma_code","Compile Plasma code to validate syntax and generate personalization steps.","Recommendations","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_opportunities","List optimizer opportunities and approval pending items — the main queue for optimization work. Filter by type (opportunity vs. approval pending).","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_opportunity","Get full opportunity details including AI analysis, generated content, and scoring for a specific experiment group.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_opportunity_discovery_status","Check current status of the opportunity discovery pipeline for the account.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_optimizer_runs","List optimization runs across the account with filtering by campaign type, status, significance, and pagination.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_optimizer_run","Get detailed information about a single optimization run including metrics, allocations, and results.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_optimizer_state","Get current optimizer state, configuration, active runs, and test allocations for an experiment group.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_optimizer_landscape","Retrieve the cached account level optimizer landscape summary.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_optimizer_content_variants","List ranked content variants with ELO tournament scores and user feedback for an experiment group.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_optimizer_sample","Render a single sample context for current, optimized, or custom content for an experiment.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"render_optimizer_samples","Batch render candidate subject lines and preheaders against a selected sample context.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_optimizer_analyses","List stored AI analyses for an experiment group — the reasoning behind opportunity identification.","Campaign optimizer (AI)","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_reports","List saved standard reports filtered by name, insight type, author, or tags.","Reports & dashboards","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_report","Fetch a single saved report with tags and metric details.","Reports & dashboards","Read","No","","","","","","","","","","","","","","","","","","","","",""
"create_report","Create a reusable campaign performance report (chart or table) that can be added to dashboards. Supports multiple chart types, groupings, and time comparisons.","Reports & dashboards","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_report","Update a saved report — rename, swap metrics, change filters, chart type, or visibility.","Reports & dashboards","Write","No","","","","","","","","","","","","","","","","","","","","",""
"list_dashboards","List dashboard shells filtered by name or author email.","Reports & dashboards","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_dashboard","Fetch a full dashboard including global filters, widgets, and notes.","Reports & dashboards","Read","No","","","","","","","","","","","","","","","","","","","","",""
"create_dashboard","Create a new dashboard shell. Add widgets and filters afterward with update_dashboard.","Reports & dashboards","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_dashboard","Update an existing dashboard — rename, adjust global filters, add/reorder/delete widgets, and edit notes.","Reports & dashboards","Write","No","","","","","","","","","","","","","","","","","","","","",""
"list_metrics","List available performance metrics (sends, clicks, conversion rates, etc.) for campaign performance, user insights, recommendations, or segment trends.","Reports & dashboards","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_user_insights_statistics","Query customer analytics for audience composition by attributes, predictive scores, RFM tiers, and more.","Reports & dashboards","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"event_summary","Get event activity summary, counts, trends, and metadata for a specified time period.","Events & transactions","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_transaction_config","Get transaction configuration including available events for a transaction type.","Events & transactions","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_onsite_slots","List and search onsite slots for live content campaigns with filtering by name, format, and active status.","Live content & onsite slots","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_onsite_slot_details","Get detailed information about a specific onsite slot.","Live content & onsite slots","Read","No","","","","","","","","","","","","","","","","","","","","",""
"create_onsite_slot","Create a new onsite slot for live content campaigns (HTML, JSON, or Landing Page format).","Live content & onsite slots","Write","No","","","","","","","","","","","","","","","","","","","","",""
"get_live_content","Retrieve personalized live content for a specific slot and user — useful for testing personalization.","Live content & onsite slots","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_promotions_v1","List all promotions with status, values, expiration dates, and use type (single use or multi use).","Promotions","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"list_tag_folders","List tag folders used for organizing campaigns, templates, segments, and other resources.","Tags & organization","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_tag_folder","Get detailed information about a specific tag folder including tagged resources.","Tags & organization","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_tag_usage_counts","Get usage counts for tags within a folder, optionally filtered by resource type.","Tags & organization","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"list_audit_trails","List audit trail records for understanding user behavior, investigating changes, and debugging. Filter by author, resource type, action, date range, and resource name.","Audit & change tracking","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_audit_detail","Retrieve complete details of a specific change for deep investigation and understanding exact modifications.","Audit & change tracking","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_account_info","Get account settings, feature flags, and configuration details.","Account & configuration","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_account_notes","Retrieve foundational account context notes — business description, email program analysis, campaign landscape, and brand voice analysis.","Account & configuration","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_marketing_insights","List all marketing insights for the account with filtering by status, insight type, and severity.","Marketing insights & ideation","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_marketing_insight","Get detailed information about a specific marketing insight including metrics, analysis, findings, and related resources.","Marketing insights & ideation","Read","No","","","","","","","","","","","","","","","","","","","","",""
"create_marketing_insight","Save a structured marketing insight with trend analysis, metrics, key findings, and by entity breakdowns.","Marketing insights & ideation","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_marketing_insight","Update an existing marketing insight.","Marketing insights & ideation","Write","No","","","","","","","","","","","","","","","","","","","","",""
"list_ideation_proposals","List ideation proposals with optional filtering by name, status, and more.","Marketing insights & ideation","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_ideation_proposal","Get detailed information about a specific ideation proposal.","Marketing insights & ideation","Read","No","","","","","","","","","","","","","","","","","","","","",""
"create_ideation_proposal","Save a structured, data-backed ideation proposal with audience sizing, RICE scoring, execution plans, and resource mapping.","Marketing insights & ideation","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_ideation_proposal","Update an existing proposal or record execution progress with step-by-step tracking and asset linking.","Marketing insights & ideation","Write","No","","","","","","","","","","","","","","","","","","","","",""
"generate_chart","Generate chart images (line, bar, area, scatter, pie, histogram) from data you pass in.","Content & document generation","Write","No","","","","","","","","","","","","","","","","","","","","",""
"generate_pdf","Generate PDF reports from data with configurable layout, sections, charts, and styling.","Content & document generation","Write","No","","","","","","","","","","","","","","","","","","","","",""
"generate_powerpoint","Generate PowerPoint presentations from a predefined list of slides.","Content & document generation","Write","No","","","","","","","","","","","","","","","","","","","","",""
"generate_spreadsheet","Generate Excel spreadsheets from data with configurable sheets, formatting, and totals.","Content & document generation","Write","No","","","","","","","","","","","","","","","","","","","","",""
"list_images","List and search images in the account's image library.","Image management","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"create_image","Save an image from a URL to the account's image library.","Image management","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_image","Update image metadata including type and tags.","Image management","Write","No","","","","","","","","","","","","","","","","","","","","",""
"analyze_image","Analyze an image from a URL to extract information, describe content, or answer questions about visual elements.","Image management","Read","No","","","","","","","","","","","","","","","","","","","","",""
"generate_image","Generate new images or edit existing ones.","Image management","Write","No","","","","","","","","","","","","","","","","","","","","",""
"search_articles","Search Blueshift's Zendesk Help Center for documentation and guides.","Documentation & help","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"get_article","Get full article content by ID with complete documentation.","Documentation & help","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"load_domain_reference","Load domain reference documentation on demand for specialized knowledge — campaign analysis workflows, segment creation patterns, email template authoring, and more.","Documentation & help","Read","Yes","","","","","","","","","","","","","","","","","","","","",""
"generate_link","Generate a Blueshift dashboard link for any resource (segment, campaign, template, algorithm, report, dashboard, customer, etc.).","Utilities & system","Read","No","","","","","","","","","","","","","","","","","","","","",""
"generate_uuid","Generate random UUIDs for use in resource creation.","Utilities & system","Read","No","","","","","","","","","","","","","","","","","","","","",""
"resource","Create, fetch, or edit reusable server-managed drafts (segments, templates, algorithms) for iterative workflows.","Utilities & system","Write","No","","","","","","","","","","","","","","","","","","","","",""
"request_permission","Request temporary write permission in chat-based agent environments that support approval elicitations.","Utilities & system","Write","No","","","","","","","","","","","","","","","","","","","","",""
"tool_search","Search for and discover available tools by keyword or intent. Returns ranked matches with invocation hints.","Utilities & system","Read","No","","","","","","","","","","","","","","","","","","","","",""
"phase_handoff","Compress context and switch tool packs for long-running, multi-phase agent workflows. Preserves working memory across context boundaries.","Utilities & system","Read","No","","","","","","","","","","","","","","","","","","","","",""
"update_agents_md","Create or update the AGENTS.MD awareness document that is automatically injected into future sessions.","Utilities & system","Write","No","","","","","","","","","","","","","","","","","","","","",""
"web_research","Research current information using Google Search for market intelligence and competitive context.","Utilities & system","Read","No","","","","","","","","","","","","","","","","","","","","",""
"github_issues","Create, list, fetch, comment on, and close GitHub issues in the Blueshift MCP tools repository. Blueshift internal use only.","Utilities & system","Read","No","","","","","","","","","","","","","","","","","","","","",""
"list_pages","Browse pages (InternalPages, PublicPages, ToolScripts).","Pages & scripts","Read","No","","","","","","","","","","","","","","","","","","","","",""
"get_page","Get details of a specific page.","Pages & scripts","Read","No","","","","","","","","","","","","","","","","","","","","",""
"create_internal_page","Create an internal page.","Pages & scripts","Write","No","","","","","","","","","","","","","","","","","","","","",""
"create_external_page","Create an external page.","Pages & scripts","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_internal_page","Update an internal page.","Pages & scripts","Write","No","","","","","","","","","","","","","","","","","","","","",""
"update_external_page","Update an external page.","Pages & scripts","Write","No","","","","","","","","","","","","","","","","","","","","",""
"run_page","Execute a page headlessly.","Pages & scripts","Write","No","","","","","","","","","","","","","","","","","","","","",""
"run_tool_script","Execute a tool script headlessly.","Pages & scripts","Write","No","","","","","","","","","","","","","","","","","","","","",""
"present_page","Present a page to the user.","Pages & scripts","Read","No","","","","","","","","","","","","","","","","","","","","",""
"archive_page","Soft-delete a page.","Pages & scripts","Write","No","","","","","","","","","","","","","","","","","","","","",""
"get_personalized_url","Get a personalized URL for a resource.","Pages & scripts","Read","No","","","","","","","","","","","","","","","","","","","","",""
